round,samples,train_loss,test_loss,test_acc,wall_clock,active_workers,bytes_in,mean_staleness,round_seconds,barrier_wait
1,32,2.30259,2.29291,0.126,0.0006,2,63164,0,0.0006,0.0
2,64,2.30259,2.29291,0.126,0.008,2,126220,1,0.00739,0.0
3,96,2.29334,2.29291,0.126,0.0083,2,189276,1,0.00034,0.0
4,128,2.25654,2.29291,0.126,0.0088,2,252332,1,0.00046,0.0
5,160,2.25816,2.25057,0.176,0.009,2,315388,1,0.00019,0.0
6,192,2.25581,2.25057,0.176,0.0148,2,378444,1,0.00585,0.0
7,224,2.21692,2.25057,0.176,0.0151,2,441500,1,0.00029,0.0
8,256,2.2344,2.25057,0.176,0.0154,2,504556,1,0.00028,0.0
9,288,2.2942,2.25057,0.176,0.0156,2,567612,1,0.00026,0.0
10,320,2.17893,2.2037,0.2085,0.0159,2,630668,1,0.00026,0.0
11,352,2.20204,2.2037,0.2085,0.0242,2,693724,1,0.00834,0.0
12,384,2.20213,2.2037,0.2085,0.0246,2,756780,1,0.00037,0.0
13,416,2.13062,2.2037,0.2085,0.0249,2,819836,1,0.00027,0.0
14,448,2.14125,2.2037,0.2085,0.0251,2,882892,1,0.0002,0.0
15,480,2.15377,2.15388,0.2455,0.0253,2,945948,1,0.00021,0.0
16,512,2.21846,2.15388,0.2455,0.031,2,1009004,1,0.00569,0.0
17,544,2.19194,2.15388,0.2455,0.0313,2,1072060,1,0.00028,0.0
18,576,2.0804,2.15388,0.2455,0.0315,2,1135116,1,0.00027,0.0
19,608,2.1428,2.15388,0.2455,0.0318,2,1198172,1,0.00026,0.0
20,640,2.12939,2.10628,0.2615,0.0321,2,1261228,1,0.00026,0.0
21,672,2.07499,2.10628,0.2615,0.041,2,1324284,1,0.00891,0.0
22,704,2.13814,2.10628,0.2615,0.0414,2,1387340,1,0.00044,0.0
23,736,2.19911,2.10628,0.2615,0.0417,2,1450396,1,0.00024,0.0
24,768,2.18561,2.10628,0.2615,0.0419,2,1513452,1,0.00027,0.0
25,800,2.20319,2.06907,0.2805,0.0421,2,1576508,1,0.00017,0.0
26,832,2.09517,2.06907,0.2805,0.0478,2,1639564,1,0.00566,0.0
27,864,2.09999,2.06907,0.2805,0.048,2,1702620,1,0.00028,0.0
28,896,2.04762,2.06907,0.2805,0.0484,2,1765676,1,0.00034,0.0
29,928,2.04023,2.06907,0.2805,0.0486,2,1828732,1,0.00023,0.0
30,960,2.0341,2.02351,0.3115,0.0488,2,1891788,1,0.00022,0.0
31,992,1.98812,2.02351,0.3115,0.0557,2,1954844,1,0.00682,0.0
32,1024,2.05324,2.02351,0.3115,0.0559,2,2017900,1,0.0003,0.0
33,1056,2.05865,2.02351,0.3115,0.0563,2,2080956,1,0.00034,0.0
34,1088,2.00419,2.02351,0.3115,0.0565,2,2144012,1,0.00019,0.0
35,1120,1.92073,1.98878,0.3215,0.0567,2,2207068,1,0.00023,0.0
36,1152,1.97783,1.98878,0.3215,0.0634,2,2270124,1,0.00666,0.0
37,1184,1.85867,1.98878,0.3215,0.0636,2,2333180,1,0.00029,0.0
38,1216,2.13425,1.98878,0.3215,0.0639,2,2396236,1,0.00027,0.0
39,1248,1.98402,1.98878,0.3215,0.0643,2,2459292,1,0.00036,0.0
40,1280,1.88984,1.95063,0.3505,0.0645,2,2522348,1,0.00021,0.0
41,1312,1.84485,1.95063,0.3505,0.0715,2,2585404,1,0.00702,0.0
42,1344,1.86004,1.95063,0.3505,0.0719,2,2648460,1,0.00039,0.0
43,1376,2.01908,1.95063,0.3505,0.0722,2,2711516,1,0.00028,0.0
44,1408,1.95722,1.95063,0.3505,0.0724,2,2774572,1,0.00024,0.0
45,1440,1.8107,1.91599,0.3565,0.0726,2,2837628,1,0.00022,0.0
46,1472,1.98372,1.91599,0.3565,0.0794,2,2900684,1,0.00673,0.0
47,1504,1.94435,1.91599,0.3565,0.0797,2,2963740,1,0.0003,0.0
48,1536,1.79265,1.91599,0.3565,0.08,2,3026796,1,0.00029,0.0
49,1568,2.04045,1.91599,0.3565,0.0803,2,3089852,1,0.00036,0.0
50,1600,1.99876,1.88448,0.365,0.0806,2,3152908,1,0.00025,0.0
51,1632,1.97658,1.88448,0.365,0.0852,2,3215964,1,0.00465,0.0
52,1664,1.82264,1.88448,0.365,0.0855,2,3279020,1,0.00031,0.0
53,1696,1.94726,1.88448,0.365,0.0857,2,3342076,1,0.00019,0.0
54,1728,1.80824,1.88448,0.365,0.086,2,3405132,1,0.00026,0.0
55,1760,1.90905,1.85231,0.3775,0.0862,2,3468188,1,0.00018,0.0
56,1792,1.82481,1.85231,0.3775,0.0929,2,3531244,1,0.00668,0.0
57,1824,1.89612,1.85231,0.3775,0.0932,2,3594300,1,0.0003,0.0
58,1856,1.8466,1.85231,0.3775,0.0934,2,3657356,1,0.00027,0.0
59,1888,1.73575,1.85231,0.3775,0.0938,2,3720412,1,0.00033,0.0
60,1920,1.81186,1.81579,0.393,0.094,2,3783468,1,0.00026,0.0
61,1952,1.56533,1.81579,0.393,0.102,2,3846524,1,0.00793,0.0
62,1984,1.7592,1.81579,0.393,0.1025,2,3909580,1,0.0005,0.0
63,2016,1.74374,1.81579,0.393,0.1027,2,3972636,1,0.00025,0.0
64,2048,1.80107,1.81579,0.393,0.103,2,4035692,1,0.00028,0.0
65,2080,1.72013,1.78124,0.402,0.1032,2,4098748,1,0.00018,0.0
66,2112,1.73209,1.78124,0.402,0.1074,2,4161804,1,0.00426,0.0
67,2144,1.74891,1.78124,0.402,0.1077,2,4224860,1,0.0003,0.0
68,2176,1.7465,1.78124,0.402,0.1079,2,4287916,1,0.00018,0.0
69,2208,1.79465,1.78124,0.402,0.1082,2,4350972,1,0.00025,0.0
70,2240,1.80067,1.74854,0.417,0.1084,2,4414028,1,0.00022,0.0
71,2272,1.79195,1.74854,0.417,0.1127,2,4477084,1,0.0043,0.0
72,2304,1.84183,1.74854,0.417,0.1129,2,4540140,1,0.00027,0.0
73,2336,1.81352,1.74854,0.417,0.1131,2,4603196,1,0.00015,0.0
74,2368,1.61431,1.74854,0.417,0.1133,2,4666252,1,0.00022,0.0
75,2400,1.80026,1.72141,0.434,0.1135,2,4729308,1,0.00014,0.0
76,2432,1.71667,1.72141,0.434,0.1207,2,4792364,1,0.00725,0.0
77,2464,1.77213,1.72141,0.434,0.1211,2,4855420,1,0.00035,0.0
78,2496,1.61117,1.72141,0.434,0.1213,2,4918476,1,0.00029,0.0
79,2528,1.83281,1.72141,0.434,0.1216,2,4981532,1,0.00027,0.0
80,2560,1.66023,1.69657,0.449,0.122,2,5044588,1,0.00034,0.0
81,2592,1.6256,1.69657,0.449,0.1288,2,5107644,1,0.00682,0.0
82,2624,1.68128,1.69657,0.449,0.1291,2,5170700,1,0.00029,0.0
83,2656,1.85858,1.69657,0.449,0.1293,2,5233756,1,0.00027,0.0
84,2688,1.65824,1.69657,0.449,0.1297,2,5296812,1,0.00034,0.0
85,2720,1.64682,1.67142,0.447,0.1299,2,5359868,1,0.0002,0.0
86,2752,1.69944,1.67142,0.447,0.1356,2,5422924,1,0.00576,0.0
87,2784,1.74791,1.67142,0.447,0.1361,2,5485980,1,0.00049,0.0
88,2816,1.76617,1.67142,0.447,0.1365,2,5549036,1,0.00034,0.0
89,2848,1.64827,1.67142,0.447,0.1368,2,5612092,1,0.00029,0.0
90,2880,1.56803,1.64371,0.462,0.137,2,5675148,1,0.00027,0.0
91,2912,1.82461,1.64371,0.462,0.1446,2,5738204,1,0.00759,0.0
92,2944,1.51454,1.64371,0.462,0.145,2,5801260,1,0.00045,0.0
93,2976,1.51766,1.64371,0.462,0.1453,2,5864316,1,0.00021,0.0
94,3008,1.56661,1.64371,0.462,0.1455,2,5927372,1,0.00027,0.0
95,3040,1.45874,1.62124,0.462,0.1457,2,5990428,1,0.00017,0.0
