round,samples,train_loss,test_loss,test_acc,wall_clock,active_workers,bytes_in,mean_staleness,round_seconds,barrier_wait
1,96,2.30259,2.2906,0.156,0.0157,3,189330,0.0,0.01567,0.01056
2,192,2.28468,2.2906,0.156,0.0324,3,378498,0.0,0.01676,0.00152
3,288,2.27748,2.2906,0.156,0.0398,3,567666,0.0,0.00737,0.00195
4,384,2.25856,2.2906,0.156,0.0466,3,756834,0.0,0.00682,0.00145
5,480,2.24193,2.24175,0.2485,0.0526,3,946002,0.0,0.00597,0.00042
6,576,2.24723,2.24175,0.2485,0.0657,3,1135170,0.0,0.01309,0.00031
7,672,2.22865,2.24175,0.2485,0.0718,3,1324338,0.0,0.0061,0.00026
8,768,2.24326,2.24175,0.2485,0.0779,3,1513506,0.0,0.00616,0.00047
9,864,2.22547,2.24175,0.2485,0.0841,3,1702674,0.0,0.00613,0.0004
10,960,2.19338,2.18456,0.309,0.0898,3,1891842,0.0,0.00578,0.0004
11,1056,2.19242,2.18456,0.309,0.1041,3,2081010,0.0,0.01428,0.00049
12,1152,2.16422,2.18456,0.309,0.1106,3,2270178,0.0,0.00649,0.00056
13,1248,2.16654,2.18456,0.309,0.1166,3,2459346,0.0,0.00603,0.00039
14,1344,2.12121,2.18456,0.309,0.1227,3,2648514,0.0,0.00607,0.00094
15,1440,2.14172,2.13146,0.357,0.1289,3,2837682,0.0,0.00621,0.00026
16,1536,2.12714,2.13146,0.357,0.1442,3,3026850,0.0,0.01528,0.00051
17,1632,2.16132,2.13146,0.357,0.1502,3,3216018,0.0,0.00604,0.0005
18,1728,2.10417,2.13146,0.357,0.1561,3,3405186,0.0,0.00588,0.00034
19,1824,2.10918,2.13146,0.357,0.1619,3,3594354,0.0,0.00579,0.00041
20,1920,2.07382,2.07929,0.3835,0.1676,3,3783522,0.0,0.00572,0.00027
21,2016,2.03456,2.07929,0.3835,0.181,3,3972690,0.0,0.01342,0.00051
22,2112,2.05367,2.07929,0.3835,0.1871,3,4161858,0.0,0.00601,0.00041
23,2208,2.05363,2.07929,0.3835,0.1931,3,4351026,0.0,0.00603,0.00026
24,2304,2.06891,2.07929,0.3835,0.1992,3,4540194,0.0,0.00607,0.00027
25,2400,2.04005,2.02656,0.4195,0.2051,3,4729362,0.0,0.00593,0.00049
26,2496,2.01801,2.02656,0.4195,0.2192,3,4918530,0.0,0.01414,0.00051
27,2592,2.01163,2.02656,0.4195,0.2253,3,5107698,0.0,0.00609,0.00027
28,2688,2.02681,2.02656,0.4195,0.2314,3,5296866,0.0,0.00608,0.00027
29,2784,2.0102,2.02656,0.4195,0.2374,3,5486034,0.0,0.00597,0.00027
30,2880,1.992,1.97984,0.446,0.2434,3,5675202,0.0,0.00609,0.00028
31,2976,1.97225,1.97984,0.446,0.2546,3,5864370,0.0,0.0112,0.00035
32,3072,1.95829,1.97984,0.446,0.2607,3,6053538,0.0,0.00604,0.00027
33,3168,1.95007,1.97984,0.446,0.2665,3,6242706,0.0,0.0058,0.00044
34,3264,1.9468,1.97984,0.446,0.2722,3,6431874,0.0,0.00571,0.00024
35,3360,1.9489,1.93391,0.48,0.279,3,6621042,0.0,0.00676,0.00104
36,3456,1.91822,1.93391,0.48,0.2906,3,6810210,0.0,0.01169,0.00038
37,3552,1.96637,1.93391,0.48,0.2968,3,6999378,0.0,0.00619,0.00042
38,3648,1.89974,1.93391,0.48,0.3031,3,7188546,0.0,0.00632,0.0003
39,3744,1.87206,1.93391,0.48,0.309,3,7377714,0.0,0.00584,0.00026
40,3840,1.89322,1.89126,0.4945,0.315,3,7566882,0.0,0.00597,0.00054
41,3936,1.9118,1.89126,0.4945,0.3267,3,7756050,0.0,0.01174,0.00048
42,4032,1.90584,1.89126,0.4945,0.3326,3,7945218,0.0,0.0059,0.00027
43,4128,1.77808,1.89126,0.4945,0.3389,3,8134386,0.0,0.00627,0.00052
44,4224,1.8455,1.89126,0.4945,0.3454,3,8323554,0.0,0.00653,0.00069
45,4320,1.89285,1.84917,0.5155,0.3512,3,8512722,0.0,0.00586,0.00026
46,4416,1.86233,1.84917,0.5155,0.3657,3,8701890,0.0,0.01441,0.00033
47,4512,1.85232,1.84917,0.5155,0.3719,3,8891058,0.0,0.00619,0.00044
48,4608,1.82027,1.84917,0.5155,0.3787,3,9080226,0.0,0.0069,0.001
49,4704,1.85787,1.84917,0.5155,0.3847,3,9269394,0.0,0.00594,0.00027
50,4800,1.83431,1.80627,0.531,0.3906,3,9458562,0.0,0.0059,0.0004
51,4896,1.78417,1.80627,0.531,0.405,3,9647730,0.0,0.01439,0.00044
52,4992,1.84595,1.80627,0.531,0.4111,3,9836898,0.0,0.00609,0.00055
53,5088,1.82105,1.80627,0.531,0.4173,3,10026066,0.0,0.00628,0.00042
54,5184,1.82415,1.80627,0.531,0.4235,3,10215234,0.0,0.00611,0.00028
55,5280,1.83098,1.7673,0.551,0.4295,3,10404402,0.0,0.00603,0.00041
56,5376,1.77271,1.7673,0.551,0.4429,3,10593570,0.0,0.01336,0.00032
57,5472,1.8201,1.7673,0.551,0.4491,3,10782738,0.0,0.00622,0.00027
58,5568,1.76934,1.7673,0.551,0.4559,3,10971906,0.0,0.0068,0.00072
