round,samples,train_loss,test_loss,test_acc,wall_clock,active_workers,bytes_in,mean_staleness,round_seconds,barrier_wait
1,64,2.30259,2.2913,0.1395,0.0012,2,126220,0.0,0.00117,0.0006
2,128,2.28342,2.2913,0.1395,0.0216,2,252332,0.0,0.02043,0.00034
3,192,2.27189,2.2913,0.1395,0.0225,2,378444,0.0,0.00093,0.00028
4,256,2.25262,2.2913,0.1395,0.0237,2,504556,0.0,0.00118,0.00048
5,320,2.26631,2.24533,0.2075,0.0247,2,630668,0.0,0.00097,0.00028
6,384,2.23992,2.24533,0.2075,0.0328,2,756780,0.0,0.00808,0.00031
7,448,2.20775,2.24533,0.2075,0.0338,2,882892,0.0,0.00104,0.00029
8,512,2.22992,2.24533,0.2075,0.035,2,1009004,0.0,0.00122,0.00053
9,576,2.20117,2.24533,0.2075,0.036,2,1135116,0.0,0.00097,0.0003
10,640,2.20229,2.18721,0.2575,0.0369,2,1261228,0.0,0.00095,0.00029
11,704,2.19108,2.18721,0.2575,0.0451,2,1387340,0.0,0.00816,0.00031
12,768,2.22366,2.18721,0.2575,0.0461,2,1513452,0.0,0.00099,0.00033
13,832,2.19907,2.18721,0.2575,0.0471,2,1639564,0.0,0.00101,0.00039
14,896,2.16474,2.18721,0.2575,0.0482,2,1765676,0.0,0.00111,0.00032
15,960,2.14085,2.13585,0.3075,0.049,2,1891788,0.0,0.00083,0.00027
16,1024,2.13424,2.13585,0.3075,0.056,2,2017900,0.0,0.00694,0.0002
17,1088,2.13558,2.13585,0.3075,0.0567,2,2144012,0.0,0.00072,0.00015
18,1152,2.09284,2.13585,0.3075,0.0573,2,2270124,0.0,0.00063,0.00015
19,1216,2.11139,2.13585,0.3075,0.0579,2,2396236,0.0,0.00057,0.00017
20,1280,2.07925,2.08756,0.346,0.0587,2,2522348,0.0,0.00083,0.00024
21,1344,2.03316,2.08756,0.346,0.0666,2,2648460,0.0,0.00787,0.00031
22,1408,2.10572,2.08756,0.346,0.0678,2,2774572,0.0,0.00116,0.00029
23,1472,2.05496,2.08756,0.346,0.0688,2,2900684,0.0,0.00103,0.00029
24,1536,2.02957,2.08756,0.346,0.0698,2,3026796,0.0,0.00102,0.00032
25,1600,2.11775,2.04198,0.365,0.0707,2,3152908,0.0,0.00094,0.00028
26,1664,2.04311,2.04198,0.365,0.078,2,3279020,0.0,0.00722,0.00032
27,1728,2.03299,2.04198,0.365,0.0789,2,3405132,0.0,0.00094,0.00038
28,1792,2.02662,2.04198,0.365,0.0799,2,3531244,0.0,0.00094,0.0004
29,1856,2.02713,2.04198,0.365,0.0807,2,3657356,0.0,0.00089,0.00033
30,1920,1.96517,1.9943,0.385,0.0816,2,3783468,0.0,0.00084,0.00027
31,1984,1.91051,1.9943,0.385,0.0883,2,3909580,0.0,0.00674,0.00031
