round,samples,train_loss,test_loss,test_acc,wall_clock,active_workers,bytes_in,mean_staleness,round_seconds,barrier_wait
1,64,2.30259,2.2913,0.1395,0.0014,2,126220,0.0,0.00137,0.00045
2,128,2.28342,2.2913,0.1395,0.0067,2,252332,0.0,0.00536,0.00022
3,192,2.27189,2.2913,0.1395,0.0074,2,378444,0.0,0.00071,0.00019
4,256,2.25262,2.2913,0.1395,0.0081,2,504556,0.0,0.00062,0.00014
5,320,2.26631,2.24533,0.2075,0.0086,2,630668,0.0,0.00057,0.00014
6,384,2.23992,2.24533,0.2075,0.0134,2,756780,0.0,0.00474,0.00017
7,448,2.20775,2.24533,0.2075,0.014,2,882892,0.0,0.00067,0.00013
8,512,2.22992,2.24533,0.2075,0.0147,2,1009004,0.0,0.00062,0.00015
9,576,2.20117,2.24533,0.2075,0.0156,2,1135116,0.0,0.00095,0.00044
10,640,2.20229,2.18721,0.2575,0.0165,2,1261228,0.0,0.00088,0.00018
11,704,2.19108,2.18721,0.2575,0.0216,2,1387340,0.0,0.00514,0.00019
12,768,2.22366,2.18721,0.2575,0.0222,2,1513452,0.0,0.00058,0.00014
13,832,2.19907,2.18721,0.2575,0.0227,2,1639564,0.0,0.00051,0.00013
14,896,2.16474,2.18721,0.2575,0.0233,2,1765676,0.0,0.00061,0.00015
15,960,2.14085,2.13585,0.3075,0.0239,2,1891788,0.0,0.00057,0.00015
16,1024,2.13424,2.13585,0.3075,0.0285,2,2017900,0.0,0.00463,0.00018
17,1088,2.13558,2.13585,0.3075,0.0291,2,2144012,0.0,0.00052,0.00013
18,1152,2.09284,2.13585,0.3075,0.0296,2,2270124,0.0,0.00048,0.00012
19,1216,2.11139,2.13585,0.3075,0.0301,2,2396236,0.0,0.00058,0.00018
20,1280,2.07925,2.08756,0.346,0.0307,2,2522348,0.0,0.0006,0.0002
21,1344,2.03316,2.08756,0.346,0.0362,2,2648460,0.0,0.00543,0.00021
22,1408,2.10572,2.08756,0.346,0.0369,2,2774572,0.0,0.00069,0.00014
23,1472,2.05496,2.08756,0.346,0.0375,2,2900684,0.0,0.0006,0.00015
24,1536,2.02957,2.08756,0.346,0.0381,2,3026796,0.0,0.0006,0.00016
25,1600,2.11775,2.04198,0.365,0.0387,2,3152908,0.0,0.00061,0.00019
26,1664,2.04311,2.04198,0.365,0.0434,2,3279020,0.0,0.00471,0.00022
27,1728,2.03299,2.04198,0.365,0.044,2,3405132,0.0,0.00061,0.00014
28,1792,2.02662,2.04198,0.365,0.0445,2,3531244,0.0,0.00052,0.00014
29,1856,2.02713,2.04198,0.365,0.045,2,3657356,0.0,0.0005,0.00013
30,1920,1.96517,1.9943,0.385,0.0455,2,3783468,0.0,0.00051,0.00018
31,1984,1.91051,1.9943,0.385,0.0513,2,3909580,0.0,0.00583,0.00021
32,2048,1.97345,1.9943,0.385,0.052,2,4035692,0.0,0.00062,0.00014
33,2112,1.93937,1.9943,0.385,0.0525,2,4161804,0.0,0.00053,0.00012
34,2176,1.95183,1.9943,0.385,0.053,2,4287916,0.0,0.00048,0.00012
35,2240,1.98108,1.94592,0.4105,0.0534,2,4414028,0.0,0.00046,0.00012
36,2304,1.98442,1.94592,0.4105,0.0583,2,4540140,0.0,0.00486,0.00018
37,2368,1.92686,1.94592,0.4105,0.0589,2,4666252,0.0,0.00065,0.00019
