round,samples,train_loss,test_loss,test_acc,wall_clock,active_workers,bytes_in,mean_staleness,round_seconds,barrier_wait
1,96,2.30259,2.2906,0.156,0.0144,3,189330,0.0,0.01443,0.00986
2,192,2.28468,2.2906,0.156,0.0353,3,378498,0.0,0.02083,0.00962
3,288,2.27748,2.2906,0.156,0.05,3,567666,0.0,0.01473,0.01033
4,384,2.25856,2.2906,0.156,0.0641,3,756834,0.0,0.01414,0.00972
5,480,2.24193,2.24175,0.2485,0.0783,3,946002,0.0,0.0142,0.00969
6,576,2.24723,2.24175,0.2485,0.0989,3,1135170,0.0,0.02062,0.00985
7,672,2.22865,2.24175,0.2485,0.1129,3,1324338,0.0,0.014,0.00943
8,768,2.24326,2.24175,0.2485,0.1267,3,1513506,0.0,0.0138,0.00925
9,864,2.22547,2.24175,0.2485,0.1405,3,1702674,0.0,0.01373,0.00949
10,960,2.19338,2.18456,0.309,0.154,3,1891842,0.0,0.01356,0.00965
11,1056,2.19242,2.18456,0.309,0.1755,3,2081010,0.0,0.02147,0.00971
12,1152,2.16422,2.18456,0.309,0.1895,3,2270178,0.0,0.014,0.0097
13,1248,2.16654,2.18456,0.309,0.2036,3,2459346,0.0,0.0141,0.00971
14,1344,2.12121,2.18456,0.309,0.2176,3,2648514,0.0,0.01401,0.00962
15,1440,2.14172,2.13146,0.357,0.2317,3,2837682,0.0,0.01406,0.00917
16,1536,2.12714,2.13146,0.357,0.2527,3,3026850,0.0,0.02103,0.01034
17,1632,2.16132,2.13146,0.357,0.2672,3,3216018,0.0,0.01452,0.01022
18,1728,2.10417,2.13146,0.357,0.2814,3,3405186,0.0,0.01419,0.00989
19,1824,2.10918,2.13146,0.357,0.2957,3,3594354,0.0,0.01427,0.00986
20,1920,2.07382,2.07929,0.3835,0.3098,3,3783522,0.0,0.01413,0.00905
21,2016,2.03456,2.07929,0.3835,0.3289,3,3972690,0.0,0.01907,0.00983
22,2112,2.05367,2.07929,0.3835,0.343,3,4161858,0.0,0.01415,0.00948
23,2208,2.05363,2.07929,0.3835,0.3572,3,4351026,0.0,0.01418,0.00975
24,2304,2.06891,2.07929,0.3835,0.3713,3,4540194,0.0,0.01411,0.00982
25,2400,2.04005,2.02656,0.4195,0.3856,3,4729362,0.0,0.01431,0.00999
26,2496,2.01801,2.02656,0.4195,0.4057,3,4918530,0.0,0.02005,0.00939
27,2592,2.01163,2.02656,0.4195,0.4198,3,5107698,0.0,0.0141,0.00964
28,2688,2.02681,2.02656,0.4195,0.4341,3,5296866,0.0,0.0143,0.00995
29,2784,2.0102,2.02656,0.4195,0.451,3,5486034,0.0,0.01689,0.01254
30,2880,1.992,1.97984,0.446,0.4655,3,5675202,0.0,0.01451,0.00922
31,2976,1.97225,1.97984,0.446,0.4861,3,5864370,0.0,0.02063,0.0095
32,3072,1.95829,1.97984,0.446,0.5001,3,6053538,0.0,0.01402,0.01008
33,3168,1.95007,1.97984,0.446,0.5142,3,6242706,0.0,0.01404,0.01014
34,3264,1.9468,1.97984,0.446,0.5284,3,6431874,0.0,0.01419,0.00974
35,3360,1.9489,1.93391,0.48,0.5425,3,6621042,0.0,0.01414,0.00969
36,3456,1.91822,1.93391,0.48,0.5635,3,6810210,0.0,0.02096,0.00965
37,3552,1.96637,1.93391,0.48,0.5776,3,6999378,0.0,0.01409,0.00984
38,3648,1.89974,1.93391,0.48,0.5938,3,7188546,0.0,0.01627,0.01106
39,3744,1.87206,1.93391,0.48,0.6078,3,7377714,0.0,0.01394,0.00935
40,3840,1.89322,1.89126,0.4945,0.6219,3,7566882,0.0,0.01408,0.00964
41,3936,1.9118,1.89126,0.4945,0.6407,3,7756050,0.0,0.01882,0.00979
42,4032,1.90584,1.89126,0.4945,0.6551,3,7945218,0.0,0.01443,0.01022
43,4128,1.77808,1.89126,0.4945,0.6692,3,8134386,0.0,0.01407,0.00976
44,4224,1.8455,1.89126,0.4945,0.6833,3,8323554,0.0,0.01408,0.00969
45,4320,1.89285,1.84917,0.5155,0.6974,3,8512722,0.0,0.0141,0.00969
46,4416,1.86233,1.84917,0.5155,0.7188,3,8701890,0.0,0.02146,0.00988
47,4512,1.85232,1.84917,0.5155,0.7329,3,8891058,0.0,0.01413,0.01021
48,4608,1.82027,1.84917,0.5155,0.7472,3,9080226,0.0,0.01426,0.00545
49,4704,1.85787,1.84917,0.5155,0.7613,3,9269394,0.0,0.01409,0.00993
50,4800,1.83431,1.80627,0.531,0.7756,3,9458562,0.0,0.01428,0.0088
51,4896,1.78417,1.80627,0.531,0.7967,3,9647730,0.0,0.02118,0.00906
52,4992,1.84595,1.80627,0.531,0.8108,3,9836898,0.0,0.01402,0.01013
53,5088,1.82105,1.80627,0.531,0.8249,3,10026066,0.0,0.01415,0.00962
54,5184,1.82415,1.80627,0.531,0.8391,3,10215234,0.0,0.01415,0.0098
55,5280,1.83098,1.7673,0.551,0.8531,3,10404402,0.0,0.01408,0.00974
56,5376,1.77271,1.7673,0.551,0.8735,3,10593570,0.0,0.02036,0.00937
57,5472,1.8201,1.7673,0.551,0.888,3,10782738,0.0,0.01453,0.0106
58,5568,1.76934,1.7673,0.551,0.9029,3,10971906,0.0,0.01491,0.00951
59,5664,1.73418,1.7673,0.551,0.9179,3,11161074,0.0,0.01497,0.0098
60,5760,1.729,1.73189,0.58,0.9328,3,11350242,0.0,0.01491,0.00976
61,5856,1.73439,1.73189,0.58,0.9529,3,11539410,0.0,0.02013,0.00982
