round,samples,train_loss,test_loss,test_acc,wall_clock,active_workers,bytes_in,mean_staleness,round_seconds,barrier_wait
1,64,2.30259,2.2913,0.1395,0.0009,2,126220,0.0,0.00089,0.00034
2,128,2.28342,2.2913,0.1395,0.0093,2,252332,0.0,0.00841,0.00021
3,192,2.27189,2.2913,0.1395,0.01,2,378444,0.0,0.00072,0.00018
4,256,2.25262,2.2913,0.1395,0.0106,2,504556,0.0,0.00061,0.0002
5,320,2.26631,2.24533,0.2075,0.0113,2,630668,0.0,0.00068,0.00018
6,384,2.23992,2.24533,0.2075,0.0189,2,756780,0.0,0.00759,0.00022
7,448,2.20775,2.24533,0.2075,0.0195,2,882892,0.0,0.00064,0.00014
8,512,2.22992,2.24533,0.2075,0.0201,2,1009004,0.0,0.00052,0.00013
9,576,2.20117,2.24533,0.2075,0.0206,2,1135116,0.0,0.00054,0.00014
10,640,2.20229,2.18721,0.2575,0.0212,2,1261228,0.0,0.00063,0.00016
11,704,2.19108,2.18721,0.2575,0.0284,2,1387340,0.0,0.00717,0.00018
12,768,2.22366,2.18721,0.2575,0.0291,2,1513452,0.0,0.00065,0.00016
13,832,2.19907,2.18721,0.2575,0.0297,2,1639564,0.0,0.00059,0.00015
14,896,2.16474,2.18721,0.2575,0.0303,2,1765676,0.0,0.00069,0.00013
15,960,2.14085,2.13585,0.3075,0.0314,2,1891788,0.0,0.00103,0.00029
16,1024,2.13424,2.13585,0.3075,0.0388,2,2017900,0.0,0.00742,0.00019
17,1088,2.13558,2.13585,0.3075,0.0396,2,2144012,0.0,0.00076,0.00017
18,1152,2.09284,2.13585,0.3075,0.0402,2,2270124,0.0,0.0006,0.00014
19,1216,2.11139,2.13585,0.3075,0.0407,2,2396236,0.0,0.00051,0.00013
20,1280,2.07925,2.08756,0.346,0.0411,2,2522348,0.0,0.00047,0.00012
21,1344,2.03316,2.08756,0.346,0.0458,2,2648460,0.0,0.0047,0.00016
22,1408,2.10572,2.08756,0.346,0.0466,2,2774572,0.0,0.00076,0.00034
23,1472,2.05496,2.08756,0.346,0.0474,2,2900684,0.0,0.00077,0.00017
24,1536,2.02957,2.08756,0.346,0.0482,2,3026796,0.0,0.00084,0.00029
25,1600,2.11775,2.04198,0.365,0.0495,2,3152908,0.0,0.00133,0.00039
26,1664,2.04311,2.04198,0.365,0.06,2,3279020,0.0,0.01043,0.00035
27,1728,2.03299,2.04198,0.365,0.061,2,3405132,0.0,0.00104,0.00028
28,1792,2.02662,2.04198,0.365,0.062,2,3531244,0.0,0.00101,0.00042
29,1856,2.02713,2.04198,0.365,0.0629,2,3657356,0.0,0.00084,0.00026
30,1920,1.96517,1.9943,0.385,0.0637,2,3783468,0.0,0.00089,0.00029
31,1984,1.91051,1.9943,0.385,0.0709,2,3909580,0.0,0.00713,0.00034
32,2048,1.97345,1.9943,0.385,0.0718,2,4035692,0.0,0.00097,0.00033
33,2112,1.93937,1.9943,0.385,0.0728,2,4161804,0.0,0.00095,0.00028
34,2176,1.95183,1.9943,0.385,0.0737,2,4287916,0.0,0.00092,0.0003
35,2240,1.98108,1.94592,0.4105,0.0746,2,4414028,0.0,0.00089,0.00029
36,2304,1.98442,1.94592,0.4105,0.0816,2,4540140,0.0,0.00698,0.00032
37,2368,1.92686,1.94592,0.4105,0.0826,2,4666252,0.0,0.00101,0.00029
38,2432,1.93834,1.94592,0.4105,0.0838,2,4792364,0.0,0.00124,0.00034
39,2496,1.90973,1.94592,0.4105,0.0848,2,4918476,0.0,0.00102,0.00029
40,2560,1.93049,1.90574,0.436,0.0858,2,5044588,0.0,0.00092,0.00029
41,2624,1.87877,1.90574,0.436,0.0985,2,5170700,0.0,0.01274,0.00054
42,2688,1.93723,1.90574,0.436,0.0995,2,5296812,0.0,0.00101,0.00032
43,2752,1.89186,1.90574,0.436,0.1005,2,5422924,0.0,0.00101,0.00028
44,2816,1.91988,1.90574,0.436,0.1014,2,5549036,0.0,0.00088,0.00028
45,2880,1.84573,1.86581,0.4505,0.1024,2,5675148,0.0,0.00098,0.00027
46,2944,1.8876,1.86581,0.4505,0.1091,2,5801260,0.0,0.0067,0.00031
47,3008,1.78878,1.86581,0.4505,0.11,2,5927372,0.0,0.00093,0.00028
48,3072,1.84955,1.86581,0.4505,0.111,2,6053484,0.0,0.00103,0.00039
49,3136,1.88273,1.86581,0.4505,0.112,2,6179596,0.0,0.001,0.00035
50,3200,1.74921,1.82707,0.465,0.113,2,6305708,0.0,0.00094,0.00028
51,3264,1.83423,1.82707,0.465,0.1207,2,6431820,0.0,0.00773,0.00035
52,3328,1.81169,1.82707,0.465,0.1217,2,6557932,0.0,0.00097,0.00029
53,3392,1.86269,1.82707,0.465,0.1226,2,6684044,0.0,0.00094,0.00029
54,3456,1.74048,1.82707,0.465,0.1236,2,6810156,0.0,0.00094,0.00029
55,3520,1.85907,1.79089,0.4875,0.1245,2,6936268,0.0,0.00096,0.00033
56,3584,1.79054,1.79089,0.4875,0.1336,2,7062380,0.0,0.00903,0.00029
57,3648,1.77349,1.79089,0.4875,0.1343,2,7188492,0.0,0.00077,0.00017
58,3712,1.75936,1.79089,0.4875,0.135,2,7314604,0.0,0.00065,0.00015
59,3776,1.71989,1.79089,0.4875,0.1355,2,7440716,0.0,0.00054,0.00014
60,3840,1.74704,1.75611,0.495,0.1361,2,7566828,0.0,0.00058,0.00013
61,3904,1.8147,1.75611,0.495,0.1427,2,7692940,0.0,0.00664,0.0002
62,3968,1.74782,1.75611,0.495,0.1433,2,7819052,0.0,0.00059,0.00013
63,4032,1.77843,1.75611,0.495,0.1438,2,7945164,0.0,0.00049,0.00012
64,4096,1.59726,1.75611,0.495,0.1444,2,8071276,0.0,0.0006,0.00014
65,4160,1.65807,1.72325,0.512,0.1449,2,8197388,0.0,0.00054,0.00015
66,4224,1.69037,1.72325,0.512,0.1506,2,8323500,0.0,0.00569,0.00019
67,4288,1.7617,1.72325,0.512,0.1513,2,8449612,0.0,0.00066,0.00016
68,4352,1.71013,1.72325,0.512,0.152,2,8575724,0.0,0.00065,0.00021
69,4416,1.75235,1.72325,0.512,0.1527,2,8701836,0.0,0.00074,0.00016
70,4480,1.71706,1.68598,0.523,0.1534,2,8827948,0.0,0.00068,0.00019
71,4544,1.68481,1.68598,0.523,0.1609,2,8954060,0.0,0.00752,0.00021
72,4608,1.64137,1.68598,0.523,0.1617,2,9080172,0.0,0.0008,0.00016
73,4672,1.72291,1.68598,0.523,0.1623,2,9206284,0.0,0.00063,0.00015
74,4736,1.71471,1.68598,0.523,0.1629,2,9332396,0.0,0.00062,0.00017
75,4800,1.67483,1.65338,0.539,0.1636,2,9458508,0.0,0.00066,0.00015
76,4864,1.62626,1.65338,0.539,0.1692,2,9584620,0.0,0.0056,0.00019
77,4928,1.63648,1.65338,0.539,0.1698,2,9710732,0.0,0.00061,0.00014
78,4992,1.73146,1.65338,0.539,0.1704,2,9836844,0.0,0.00057,0.00015
79,5056,1.64703,1.65338,0.539,0.171,2,9962956,0.0,0.00062,0.00015
80,5120,1.70361,1.62317,0.5495,0.1717,2,10089068,0.0,0.00066,0.00028
81,5184,1.68841,1.62317,0.5495,0.1789,2,10215180,0.0,0.00726,0.00019
