round,samples,train_loss,test_loss,test_acc,wall_clock,active_workers,bytes_in,mean_staleness,round_seconds,barrier_wait
1,64,2.30259,2.2913,0.1395,0.0044,2,58948,0.0,0.00437,0.00078
2,128,2.28342,2.2913,0.1395,0.0182,2,117782,0.0,0.0138,0.00109
3,192,2.27189,2.2913,0.1395,0.0224,2,176580,0.0,0.0042,0.00126
4,256,2.25262,2.2913,0.1395,0.0265,2,235372,0.0,0.00418,0.00125
5,320,2.26631,2.24533,0.2075,0.0308,2,294194,0.0,0.00428,0.00127
6,384,2.23992,2.24533,0.2075,0.0439,2,352978,0.0,0.01304,0.00124
7,448,2.20775,2.24533,0.2075,0.0493,2,411775,0.0,0.00541,0.00169
8,512,2.22992,2.24533,0.2075,0.0564,2,470683,0.0,0.00711,0.00127
9,576,2.20117,2.24533,0.2075,0.0609,2,529406,0.0,0.00452,0.00141
10,640,2.20229,2.18721,0.2575,0.0656,2,588212,0.0,0.00471,0.00134
11,704,2.19108,2.18721,0.2575,0.0783,2,647006,0.0,0.01263,0.00134
12,768,2.22366,2.18721,0.2575,0.0829,2,705748,0.0,0.00464,0.0014
13,832,2.19907,2.18721,0.2575,0.0872,2,764566,0.0,0.00433,0.00123
14,896,2.16474,2.18721,0.2575,0.0916,2,823370,0.0,0.00434,0.00126
15,960,2.14085,2.13585,0.3075,0.0959,2,882171,0.0,0.00434,0.00124
16,1024,2.13424,2.13585,0.3075,0.1085,2,941078,0.0,0.01258,0.00137
17,1088,2.13558,2.13585,0.3075,0.1129,2,999919,0.0,0.0044,0.00134
18,1152,2.09284,2.13585,0.3075,0.1172,2,1058859,0.0,0.00434,0.00132
19,1216,2.11139,2.13585,0.3075,0.1216,2,1117729,0.0,0.00436,0.00137
20,1280,2.07925,2.08756,0.346,0.1257,2,1176487,0.0,0.00416,0.00118
21,1344,2.03316,2.08756,0.346,0.1341,2,1235329,0.0,0.00835,0.00137
22,1408,2.10572,2.08756,0.346,0.1384,2,1294103,0.0,0.00433,0.00129
23,1472,2.05496,2.08756,0.346,0.1426,2,1352899,0.0,0.00415,0.00119
24,1536,2.02957,2.08756,0.346,0.1468,2,1411673,0.0,0.00421,0.00139
25,1600,2.11775,2.04198,0.365,0.1511,2,1470498,0.0,0.00434,0.00129
26,1664,2.04311,2.04198,0.365,0.1631,2,1529287,0.0,0.01203,0.00137
27,1728,2.03299,2.04198,0.365,0.1679,2,1588088,0.0,0.00476,0.0013
28,1792,2.02662,2.04198,0.365,0.1721,2,1646941,0.0,0.00415,0.00121
29,1856,2.02713,2.04198,0.365,0.1762,2,1705814,0.0,0.0041,0.00123
30,1920,1.96517,1.9943,0.385,0.18,2,1764635,0.0,0.00389,0.00116
31,1984,1.91051,1.9943,0.385,0.1929,2,1823382,0.0,0.0128,0.00128
32,2048,1.97345,1.9943,0.385,0.1969,2,1882120,0.0,0.00405,0.00135
33,2112,1.93937,1.9943,0.385,0.2023,2,1940986,0.0,0.0054,0.0019
34,2176,1.95183,1.9943,0.385,0.2062,2,1999791,0.0,0.00395,0.00118
35,2240,1.98108,1.94592,0.4105,0.2102,2,2058606,0.0,0.00399,0.0013
36,2304,1.98442,1.94592,0.4105,0.2244,2,2117479,0.0,0.01415,0.00139
37,2368,1.92686,1.94592,0.4105,0.2286,2,2176211,0.0,0.00417,0.00127
38,2432,1.93834,1.94592,0.4105,0.2329,2,2235031,0.0,0.00439,0.00142
39,2496,1.90973,1.94592,0.4105,0.2404,2,2293876,0.0,0.00745,0.00127
40,2560,1.93049,1.90574,0.436,0.2445,2,2352773,0.0,0.00409,0.00127
41,2624,1.87877,1.90574,0.436,0.2571,2,2411663,0.0,0.01263,0.00172
42,2688,1.93723,1.90574,0.436,0.2638,2,2470446,0.0,0.00672,0.00168
43,2752,1.89186,1.90574,0.436,0.2707,2,2529311,0.0,0.00689,0.0017
44,2816,1.91988,1.90574,0.436,0.2773,2,2588137,0.0,0.00659,0.0016
45,2880,1.84573,1.86581,0.4505,0.284,2,2646975,0.0,0.00675,0.00163
46,2944,1.8876,1.86581,0.4505,0.2965,2,2705757,0.0,0.01241,0.00171
47,3008,1.78878,1.86581,0.4505,0.3028,2,2764545,0.0,0.00638,0.00127
48,3072,1.84955,1.86581,0.4505,0.3067,2,2823316,0.0,0.00389,0.0012
49,3136,1.88273,1.86581,0.4505,0.3106,2,2882033,0.0,0.00391,0.00114
50,3200,1.74921,1.82707,0.465,0.3148,2,2940847,0.0,0.00415,0.00148
51,3264,1.83423,1.82707,0.465,0.3273,2,2999649,0.0,0.01252,0.00129
52,3328,1.81169,1.82707,0.465,0.3315,2,3058366,0.0,0.00416,0.00137
53,3392,1.86269,1.82707,0.465,0.3355,2,3117201,0.0,0.004,0.00119
54,3456,1.74048,1.82707,0.465,0.3394,2,3176078,0.0,0.00397,0.00123
55,3520,1.85907,1.79089,0.4875,0.3434,2,3234880,0.0,0.00396,0.00125
56,3584,1.79054,1.79089,0.4875,0.3567,2,3293645,0.0,0.01336,0.00132
57,3648,1.77349,1.79089,0.4875,0.3608,2,3352401,0.0,0.00407,0.00122
58,3712,1.75936,1.79089,0.4875,0.3647,2,3411187,0.0,0.00389,0.00117
59,3776,1.71989,1.79089,0.4875,0.3688,2,3469988,0.0,0.00405,0.00129
60,3840,1.74704,1.75611,0.495,0.3727,2,3528708,0.0,0.00391,0.00116
61,3904,1.8147,1.75611,0.495,0.3814,2,3587519,0.0,0.00875,0.00138
62,3968,1.74782,1.75611,0.495,0.3855,2,3646299,0.0,0.00413,0.00129
63,4032,1.77843,1.75611,0.495,0.3896,2,3705092,0.0,0.0041,0.00129
64,4096,1.59726,1.75611,0.495,0.3938,2,3763891,0.0,0.00412,0.00129
65,4160,1.65807,1.72325,0.512,0.3979,2,3822663,0.0,0.0041,0.00131
66,4224,1.69037,1.72325,0.512,0.4102,2,3881470,0.0,0.01239,0.00136
67,4288,1.7617,1.72325,0.512,0.4144,2,3940376,0.0,0.00412,0.00131
68,4352,1.71013,1.72325,0.512,0.4185,2,3999165,0.0,0.00418,0.00133
69,4416,1.75235,1.72325,0.512,0.4227,2,4058041,0.0,0.00413,0.0013
70,4480,1.71706,1.68598,0.523,0.4267,2,4116891,0.0,0.00405,0.00123
71,4544,1.68481,1.68598,0.523,0.4387,2,4175644,0.0,0.01195,0.00142
72,4608,1.64137,1.68598,0.523,0.4427,2,4234483,0.0,0.00402,0.0012
73,4672,1.72291,1.68598,0.523,0.4465,2,4293307,0.0,0.00383,0.00118
74,4736,1.71471,1.68598,0.523,0.4508,2,4352143,0.0,0.00432,0.00124
75,4800,1.67483,1.65338,0.539,0.4547,2,4410985,0.0,0.00383,0.00114
76,4864,1.62626,1.65338,0.539,0.4667,2,4469879,0.0,0.01207,0.00093
77,4928,1.63648,1.65338,0.539,0.4709,2,4528618,0.0,0.00416,0.00133
78,4992,1.73146,1.65338,0.539,0.4749,2,4587349,0.0,0.00397,0.00124
79,5056,1.64703,1.65338,0.539,0.479,2,4646105,0.0,0.0041,0.00134
80,5120,1.70361,1.62317,0.5495,0.4843,2,4704932,0.0,0.00533,0.00247
81,5184,1.68841,1.62317,0.5495,0.4966,2,4763721,0.0,0.01228,0.00139
82,5248,1.66253,1.62317,0.5495,0.502,2,4822434,0.0,0.00538,0.0017
83,5312,1.68054,1.62317,0.5495,0.5061,2,4881254,0.0,0.00414,0.00136
84,5376,1.59743,1.62317,0.5495,0.5101,2,4940009,0.0,0.00403,0.00125
85,5440,1.71154,1.59238,0.5685,0.5141,2,4998734,0.0,0.00398,0.00116
86,5504,1.62452,1.59238,0.5685,0.5227,2,5057520,0.0,0.00858,0.00128
87,5568,1.6266,1.59238,0.5685,0.5268,2,5116338,0.0,0.00411,0.00129
88,5632,1.54778,1.59238,0.5685,0.5309,2,5175122,0.0,0.0041,0.00122
89,5696,1.61191,1.59238,0.5685,0.5351,2,5233878,0.0,0.00415,0.00135
90,5760,1.52418,1.56664,0.586,0.5391,2,5292690,0.0,0.00406,0.00124
91,5824,1.54514,1.56664,0.586,0.5476,2,5351565,0.0,0.00853,0.00133
92,5888,1.5248,1.56664,0.586,0.5519,2,5410331,0.0,0.00424,0.00123
93,5952,1.62767,1.56664,0.586,0.556,2,5469103,0.0,0.00414,0.00136
94,6016,1.60325,1.56664,0.586,0.56,2,5527880,0.0,0.00398,0.00124
95,6080,1.55993,1.54281,0.596,0.564,2,5586671,0.0,0.00399,0.00125
96,6144,1.57206,1.54281,0.596,0.5728,2,5645374,0.0,0.00883,0.00136
97,6208,1.53666,1.54281,0.596,0.5769,2,5704171,0.0,0.00412,0.00126
98,6272,1.64352,1.54281,0.596,0.5813,2,5763012,0.0,0.00432,0.00135
99,6336,1.54609,1.54281,0.596,0.5855,2,5821757,0.0,0.00427,0.00137
100,6400,1.59012,1.51435,0.611,0.5896,2,5880496,0.0,0.00404,0.00116
101,6464,1.5109,1.51435,0.611,0.6062,2,5939237,0.0,0.01661,0.00305
102,6528,1.54344,1.51435,0.611,0.6131,2,5998082,0.0,0.00693,0.00145
103,6592,1.53176,1.51435,0.611,0.6176,2,6056882,0.0,0.00448,0.00129
104,6656,1.42412,1.51435,0.611,0.6217,2,6115659,0.0,0.00413,0.00131
105,6720,1.56165,1.48877,0.6135,0.6257,2,6174423,0.0,0.00402,0.00124
106,6784,1.47416,1.48877,0.6135,0.6381,2,6233185,0.0,0.01236,0.00128
107,6848,1.41948,1.48877,0.6135,0.6425,2,6292005,0.0,0.00439,0.00138
108,6912,1.44656,1.48877,0.6135,0.6467,2,6350816,0.0,0.00422,0.00117
109,6976,1.54182,1.48877,0.6135,0.6508,2,6409593,0.0,0.00413,0.00123
110,7040,1.48476,1.46496,0.6205,0.6548,2,6468477,0.0,0.00395,0.00113
111,7104,1.43352,1.46496,0.6205,0.6672,2,6527345,0.0,0.01243,0.00135
112,7168,1.43887,1.46496,0.6205,0.6711,2,6586150,0.0,0.00391,0.00119
113,7232,1.45007,1.46496,0.6205,0.675,2,6644916,0.0,0.00385,0.00116
114,7296,1.4596,1.46496,0.6205,0.6792,2,6703718,0.0,0.00424,0.00131
115,7360,1.44487,1.44558,0.626,0.684,2,6762517,0.0,0.00481,0.00118
116,7424,1.38503,1.44558,0.626,0.6967,2,6821276,0.0,0.01271,0.00139
117,7488,1.5432,1.44558,0.626,0.7017,2,6880082,0.0,0.00494,0.00173
118,7552,1.52076,1.44558,0.626,0.7057,2,6938859,0.0,0.00403,0.0012
119,7616,1.3702,1.44558,0.626,0.7113,2,6997662,0.0,0.00561,0.00131
120,7680,1.51923,1.42163,0.631,0.7155,2,7056468,0.0,0.00419,0.00131
121,7744,1.47564,1.42163,0.631,0.7287,2,7115321,0.0,0.01317,0.00144
122,7808,1.50617,1.42163,0.631,0.733,2,7174128,0.0,0.00432,0.00131
123,7872,1.33595,1.42163,0.631,0.737,2,7232955,0.0,0.00404,0.00129
124,7936,1.43538,1.42163,0.631,0.7409,2,7291724,0.0,0.00392,0.00117
125,8000,1.47214,1.401,0.636,0.745,2,7350621,0.0,0.00402,0.00128
126,8064,1.41852,1.401,0.636,0.7593,2,7409398,0.0,0.01429,0.00223
127,8128,1.46785,1.401,0.636,0.7671,2,7468181,0.0,0.0078,0.00231
128,8192,1.44908,1.401,0.636,0.7767,2,7527026,0.0,0.00959,0.00039
129,8256,1.38929,1.401,0.636,0.7863,2,7585855,0.0,0.00969,0.00039
130,8320,1.36392,1.37868,0.647,0.7959,2,7644688,0.0,0.00954,0.00037
131,8384,1.44279,1.37868,0.647,0.812,2,7703443,0.0,0.01611,0.00043
132,8448,1.368,1.37868,0.647,0.8201,2,7762219,0.0,0.00809,0.00041
133,8512,1.4115,1.37868,0.647,0.8297,2,7820995,0.0,0.00964,0.00039
134,8576,1.35906,1.37868,0.647,0.8405,2,7879799,0.0,0.01078,0.00041
135,8640,1.35339,1.35995,0.645,0.8505,2,7938551,0.0,0.01002,0.00054
136,8704,1.32079,1.35995,0.645,0.8663,2,7997272,0.0,0.01576,0.00045
137,8768,1.41788,1.35995,0.645,0.8762,2,8056013,0.0,0.00987,0.00039
138,8832,1.33305,1.35995,0.645,0.8869,2,8114801,0.0,0.0107,0.00274
139,8896,1.35952,1.35995,0.645,0.8946,2,8173527,0.0,0.00771,0.00038
140,8960,1.38129,1.34096,0.649,0.9038,2,8232430,0.0,0.00922,0.00044
141,9024,1.4539,1.34096,0.649,0.9177,2,8291199,0.0,0.01387,0.00156
142,9088,1.40613,1.34096,0.649,0.9256,2,8350008,0.0,0.00792,0.00038
143,9152,1.51153,1.34096,0.649,0.9337,2,8408803,0.0,0.0081,0.00039
144,9216,1.3665,1.34096,0.649,0.9434,2,8467617,0.0,0.0097,0.00239
145,9280,1.30603,1.3235,0.6565,0.9534,2,8526355,0.0,0.01,0.0004
146,9344,1.33663,1.3235,0.6565,0.9681,2,8585133,0.0,0.01475,0.00187
147,9408,1.43461,1.3235,0.6565,0.9761,2,8643910,0.0,0.00796,0.00038
148,9472,1.35155,1.3235,0.6565,0.9866,2,8702698,0.0,0.01044,0.00042
149,9536,1.33873,1.3235,0.6565,0.9964,2,8761436,0.0,0.00985,0.0024
150,9600,1.36028,1.30947,0.6605,1.0049,2,8820272,0.0,0.00851,0.00042
151,9664,1.29471,1.30947,0.6605,1.0211,2,8879137,0.0,0.01618,0.00052
152,9728,1.34776,1.30947,0.6605,1.0309,2,8937938,0.0,0.00984,0.00238
153,9792,1.32055,1.30947,0.6605,1.0406,2,8996755,0.0,0.00965,0.002
154,9856,1.15532,1.30947,0.6605,1.0506,2,9055552,0.0,0.01003,0.00236
155,9920,1.2898,1.29414,0.6615,1.0606,2,9114361,0.0,0.00998,0.00249
156,9984,1.24837,1.29414,0.6615,1.077,2,9173110,0.0,0.01636,0.00049
157,10032,1.25251,1.29414,0.6615,1.0868,2,9232122,0.0,0.00986,0.00039
